Category,sub1,sub2,sub3,Role,Range,Display Role,Exp
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Companies,Agency / Bancassurance Sales,Zonal_Manager_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Companies_Agency___Bancassurance_Sales,80 - 100,"Zonal Manager in Tier 1 Finance (Product Control), Insurance Companies, Agency / Bancassurance Sales",
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Companies,Agency / Bancassurance Sales,National_Head_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Companies_Agency___Bancassurance_Sales,90 - 160,"National Head in Tier 1 Finance (Product Control), Insurance Companies, Agency / Bancassurance Sales",
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Broking,Claims / Underwriting (UW),Manager_and_Sr_Manager_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Broking_Claims___Underwriting_(UW),Aug-14,"Manager & Sr Manager in Tier 1 Finance (Product Control), Insurance Broking, Claims / Underwriting (UW)",
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Broking,Claims / Underwriting (UW),AVP_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Broking_Claims___Underwriting_(UW),18 - 27,"AVP in Tier 1 Finance (Product Control), Insurance Broking, Claims / Underwriting (UW)",
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Broking,Claims / Underwriting (UW),DVP___VP_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Broking_Claims___Underwriting_(UW),30 - 37,"DVP / VP in Tier 1 Finance (Product Control), Insurance Broking, Claims / Underwriting (UW)",
Banking & Financial Services,Tier 1 Finance (Product Control),Insurance Broking,Claims / Underwriting (UW),SVP_Banking_and_Financial_Services_Tier_1_Finance_(Product_Control)_Insurance_Broking_Claims___Underwriting_(UW),50 - 65,"SVP in Tier 1 Finance (Product Control), Insurance Broking, Claims / Underwriting (UW)",
Banking & Financial Services,Strategy Consulting,Tier 1 Global Firms,Business Analyst (Pre-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Tier_1_Global_Firms_Business_Analyst_(Pre-MBA),16 - 21,"Base Salary in Strategy Consulting, Tier 1 Global Firms, Business Analyst (Pre-MBA)",
Banking & Financial Services,Strategy Consulting,Tier 1 Global Firms,Associate / Junior Consultant (Post-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Tier_1_Global_Firms_Associate___Junior_Consultant_(Post-MBA),32 - 38,"Base Salary in Strategy Consulting, Tier 1 Global Firms, Associate / Junior Consultant (Post-MBA)",
Banking & Financial Services,Strategy Consulting,Tier 1 Global Firms,Engagement Manager / Project Leader,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Tier_1_Global_Firms_Engagement_Manager___Project_Leader,58 - 70,"Base Salary in Strategy Consulting, Tier 1 Global Firms, Engagement Manager / Project Leader",
Banking & Financial Services,Strategy Consulting,Tier 1 Global Firms,Associate Partner / Principal,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Tier_1_Global_Firms_Associate_Partner___Principal,75 - 95,"Base Salary in Strategy Consulting, Tier 1 Global Firms, Associate Partner / Principal",
Banking & Financial Services,Strategy Consulting,Tier 1 Global Firms,Early / Junior Partner,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Tier_1_Global_Firms_Early___Junior_Partner,125 - 150,"Base Salary in Strategy Consulting, Tier 1 Global Firms, Early / Junior Partner",
Banking & Financial Services,Strategy Consulting,Consulting Arm of Accounting / Audit / Technology Firms,Business Analyst (Pre-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Consulting_Arm_of_Accounting___Audit___Technology_Firms_Business_Analyst_(Pre-MBA),Dec-15,"Base Salary in Strategy Consulting, Consulting Arm of Accounting / Audit / Technology Firms, Business Analyst (Pre-MBA)",
Banking & Financial Services,Strategy Consulting,Consulting Arm of Accounting / Audit / Technology Firms,Associate / Junior Consultant (Post-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Consulting_Arm_of_Accounting___Audit___Technology_Firms_Associate___Junior_Consultant_(Post-MBA),28 - 35,"Base Salary in Strategy Consulting, Consulting Arm of Accounting / Audit / Technology Firms, Associate / Junior Consultant (Post-MBA)",
Banking & Financial Services,Strategy Consulting,Consulting Arm of Accounting / Audit / Technology Firms,Engagement Manager / Project Leader,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Consulting_Arm_of_Accounting___Audit___Technology_Firms_Engagement_Manager___Project_Leader,35 - 48,"Base Salary in Strategy Consulting, Consulting Arm of Accounting / Audit / Technology Firms, Engagement Manager / Project Leader",
Banking & Financial Services,Strategy Consulting,Consulting Arm of Accounting / Audit / Technology Firms,Associate Partner / Principal,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Consulting_Arm_of_Accounting___Audit___Technology_Firms_Associate_Partner___Principal,50 - 65,"Base Salary in Strategy Consulting, Consulting Arm of Accounting / Audit / Technology Firms, Associate Partner / Principal",
Banking & Financial Services,Strategy Consulting,Consulting Arm of Accounting / Audit / Technology Firms,Early / Junior Partner,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Consulting_Arm_of_Accounting___Audit___Technology_Firms_Early___Junior_Partner,95 - 120,"Base Salary in Strategy Consulting, Consulting Arm of Accounting / Audit / Technology Firms, Early / Junior Partner",
Banking & Financial Services,Strategy Consulting,Global Boutique Firms,Business Analyst (Pre-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Global_Boutique_Firms_Business_Analyst_(Pre-MBA),16 - 22,"Base Salary in Strategy Consulting, Global Boutique Firms, Business Analyst (Pre-MBA)",
Banking & Financial Services,Strategy Consulting,Global Boutique Firms,Associate / Junior Consultant (Post-MBA),Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Global_Boutique_Firms_Associate___Junior_Consultant_(Post-MBA),30 - 40,"Base Salary in Strategy Consulting, Global Boutique Firms, Associate / Junior Consultant (Post-MBA)",
Banking & Financial Services,Strategy Consulting,Global Boutique Firms,Engagement Manager / Project Leader,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Global_Boutique_Firms_Engagement_Manager___Project_Leader,50 - 75,"Base Salary in Strategy Consulting, Global Boutique Firms, Engagement Manager / Project Leader",
Banking & Financial Services,Strategy Consulting,Global Boutique Firms,Associate Partner / Principal,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Global_Boutique_Firms_Associate_Partner___Principal,75 - 100,"Base Salary in Strategy Consulting, Global Boutique Firms, Associate Partner / Principal",
Banking & Financial Services,Strategy Consulting,Global Boutique Firms,Early / Junior Partner,Base_Salary_Banking_and_Financial_Services_Strategy_Consulting_Global_Boutique_Firms_Early___Junior_Partner,110 - 155,"Base Salary in Strategy Consulting, Global Boutique Firms, Early / Junior Partner",
Banking & Financial Services,Strategy Consulting,Domestic Boutique Firms,Base Salary,Business_Analyst_(Pre-MBA)_Banking_and_Financial_Services_Strategy_Consulting_Domestic_Boutique_Firms_Base_Salary,Dec-18,"Business Analyst (Pre-MBA) in Strategy Consulting, Domestic Boutique Firms, Base Salary",
Banking & Financial Services,Strategy Consulting,Domestic Boutique Firms,Base Salary,Associate___Junior_Consultant_(Post-MBA)_Banking_and_Financial_Services_Strategy_Consulting_Domestic_Boutique_Firms_Base_Salary,22 - 30,"Associate / Junior Consultant (Post-MBA) in Strategy Consulting, Domestic Boutique Firms, Base Salary",
Banking & Financial Services,Strategy Consulting,Domestic Boutique Firms,Base Salary,Engagement_Manager___Project_Leader_Banking_and_Financial_Services_Strategy_Consulting_Domestic_Boutique_Firms_Base_Salary,32 - 50,"Engagement Manager / Project Leader in Strategy Consulting, Domestic Boutique Firms, Base Salary",
Banking & Financial Services,Strategy Consulting,Domestic Boutique Firms,Base Salary,Associate_Partner___Principal_Banking_and_Financial_Services_Strategy_Consulting_Domestic_Boutique_Firms_Base_Salary,55 - 70,"Associate Partner / Principal in Strategy Consulting, Domestic Boutique Firms, Base Salary",
Banking & Financial Services,Strategy Consulting,Domestic Boutique Firms,Base Salary,Early___Junior_Partner_Banking_and_Financial_Services_Strategy_Consulting_Domestic_Boutique_Firms_Base_Salary,90 - 130,"Early / Junior Partner in Strategy Consulting, Domestic Boutique Firms, Base Salary",
